note_name,section_name,section_id,note_description,section_description
Physician,Last Dose Of Antibiotics,last-dose-of-antibiotics,Daily notes taken by the physician on their rounds as a part of a patient check up.,Time of the last dose of antibiotic medications.
Physician,Medication History,medication-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medications that the patient are taking at home.
Physician,Past Medical History,past-medical-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medical problems a patient has.
Physician,Past Surgical History,past-surgical-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,All surgeries the patient has had in their past.
Physician,Physical Examination,physical-examination,Daily notes taken by the physician on their rounds as a part of a patient check up.,Evalutating anatomic finds of a patient through palpation and auscultation.
Physician,Review of Systems,review-of-systems,Daily notes taken by the physician on their rounds as a part of a patient check up.,A generalized review of potential symptoms that the patient might not have addressed in the chief complaint or history of present illness.
Physician,Social History,social-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,"History of occupation, recreational activities, and living situation."
Radiology,Addendum,addendum,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",An addition to the note.
Radiology,Comparison,comparison,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Comparing the new study to prior studies to determine interval changes.
Radiology,Contrast,contrast,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Was contrast introduced into the patient.
Radiology,Findings,findings,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Specific finidngs during the study.
Radiology,History,history,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Patient's clinical history warranting exam.
Radiology,Image Type,image-type,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",The type of study being performed.
Radiology,Impression,impression,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Overall summerization of the study.
Radiology,Indication,indication,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Why the study was performed.
Radiology,Medical Condition,medical-condition,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",History of the patient and why the patient needs the study.
Radiology,Procedure,procedure,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Procedure name.
Radiology,Reason,reason,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Why the consulting team was brought in for the patient's care.
Radiology,Technique,technique,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",How the procedure was being performed.
Radiology,Wet Read,wet-read,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.","Initial read, not the official read of the study."
